exchange_point_id, region, country, city, long_name, status, media_type, organization_type, establishment, url, member_list_url, looking_glass_url, participants, traffic, prefixes
1705, Asia-Pacific, Afghanistan, Kabul, National Internet Exchange of Afghanistan, Planned, Ethernet, Governmental, 20110500, http://mcit.gov.af/en/news/1290, , , 0, 0, 0
1849, Europe, Albania, Tirana, Albania IX, Active, Ethernet, Commercial, 20110000, http://www.albtelecom.al/en/dedicated-service/infrastructure/434-alb-ix, http://www.albtelecom.al/en/dedicated-service/infrastructure/434-alb-ix, , 8, 0, 0
1708, Africa, Algeria, Algiers, Algeria Internet Exchange, Planned, Ethernet, Governmental, 20130000, , , , 0, 0, 0
932, Africa, Angola, Luanda, Angola Internet Exchange, Active, Ethernet, Association, 20060317, http://www.angola-ixp.ao, http://www.angola-ixp.ao/membros.php, , 12, 600000, 0
1848, Africa, Angola, Luanda, ANGONIX, Active, Ethernet, Commercial, 20150309, http://angonix.net, http://angonix.net/customers-partners/customers/, http://lg.angonix.net, 16, 3200000, 281
545, Africa, Angola, Luanda, Ponto de Intercambio Internet Angola, Planned, Ethernet, Association, 0, http://www.aapsi.og.ao/index.php/infraestruturas/ponto-de-intercambio-internet, , , 0, 0, 0
1403, Latin America, Argentina, Bahía Blanca, NAP CABASE Bahía Blanca, Active, , Association, 20130427, http://www.cabase.org.ar/wordpress/nap-bahia-blanca-2/, http://www.cabase.org.ar/wordpress/nap-bahia-blanca-2/, , 15, 713000, 0
1822, Latin America, Argentina, Bariloche, NAP CABASE Bariloche, Active, Ethernet, Association, 20140915, http://www.cabase.org.ar/, http://www.cabase.org.ar/nap-bariloche/, , 6, 0, 0
2, Latin America, Argentina, Buenos Aires, NAP CABASE Buenos Aires, Active, Ethernet, Association, 19980401, http://www.cabase.org.ar, http://www.cabase.org.ar/eng/asociados/asociados_completo.php, http://trafico.cabase.org.ar/lg, 71, 974000, 15972
1404, Latin America, Argentina, Córdoba, NAP CABASE Córdoba, Active, Ethernet, Association, 20120424, http://www.cabase.org.ar/wordpress/nap-cordoba/, http://www.cabase.org.ar/wordpress/nap-cordoba/, , 22, 175000, 10737
1406, Latin America, Argentina, La Plata, NAP CABASE La Plata, Active, Ethernet, Association, 20120606, http://www.cabase.org.ar/wordpress/nap-la-plata/, http://www.cabase.org.ar/wordpress/nap-la-plata/, , 13, 85000, 0
1407, Latin America, Argentina, Mar del Plata, NAP CABASE Mar del Plata, Active, Ethernet, Association, 20121107, http://www.cabase.org.ar/wordpress/nap-mar-del-plata/, http://www.cabase.org.ar/wordpress/nap-mar-del-plata/, , 10, 968000, 0
1405, Latin America, Argentina, Mar del Tuyú, NAP CABASE De la Costa, Active, Ethernet, Association, 20111129, http://www.cabase.org.ar/wordpress/nap-de-la-costa/, http://www.cabase.org.ar/wordpress/nap-de-la-costa/, , 8, 919000, 0
1408, Latin America, Argentina, Mendoza, NAP CABASE Mendoza, Active, Ethernet, Association, 20111020, http://www.cabase.org.ar/wordpress/nap-mendoza/, http://www.cabase.org.ar/wordpress/nap-mendoza/, , 13, 2160000, 0
1198, Latin America, Argentina, Neuquén, NAP CABASE Neuquén, Active, Ethernet, Association, 20100510, http://www.cabase.org.ar/wordpress/nap-neuquen/, http://www.cabase.org.ar/wordpress/nap-neuquen/, , 17, 2210000, 10706
1820, Latin America, Argentina, Posadas, NAP CABASE Posadas, Active, Ethernet, Association, 20131128, http://www.cabase.org.ar/wordpress/nap-posadas/, , , 12, 627000, 0
1823, Latin America, Argentina, Puerto Madryn, NAP CABASE Puerto Madryn, Active, Ethernet, Association, 20141030, http://www.cabase.org.ar/wordpress/nap-puerto-madryn/, , , 7, 0, 0
1409, Latin America, Argentina, Rosario, NAP CABASE Rosario, Active, Ethernet, Association, 20110331, http://www.cabase.org.ar/wordpress/nap-rosario/, http://www.cabase.org.ar/wordpress/nap-rosario/, , 17, 2290000, 0
