exchange_point_id, short_name, status, version, multicast, mlpa, subnet, participants
2, NAP CABASE Buenos Aires, Active, IPv6, Unicast, None, 2001:13c7:6001::/64, 5
2, NAP CABASE Buenos Aires, Active, IPv4, Unicast, None, 200.0.17.0/24, 71
6, AUSIX, Active, IPv4, , Unknown, 218.100.1.0/24, 7
8, VIC-IX, Active, IPv4, Unicast, Unknown, 218.100.78.0/24, 49
8, VIC-IX, Active, IPv6, Unicast, Unknown, 2001:7fa:11:1::/64, 0
9, WAIX, Active, IPv4, Unicast, Available, 198.32.212.0/24, 82
9, WAIX, Unknown, IPv6, , Available, , 0
12, Equinix Sydney, Active, IPv4, Unicast, Available, 202.167.228.0/24, 85
13, PIPE Brisbane, Active, IPv4, Unicast, Available, 218.100.0.0/24, 36
13, PIPE Brisbane, Active, IPv6, Unicast, Unknown, 2001:7FA:9::, 0
14, GraX, Active, IPv4, Unicast, Unknown, 193.105.214.0/24, 16
14, GraX, Active, IPv6, Unicast, Unknown, 2001:7f8:71::, 16
15, VIX, Active, IPv6, Unicast, Unknown, 2001:0628:04fe::/64, 74
15, VIX, Active, IPv4, Unicast, Unknown, 193.203.0.0/24, 124
15, VIX, Unknown, IPv4, Multicast, Unknown, , 3
16, BDIX, Active, IPv4, Unicast, Available, 198.32.167.0/24, 31
17, BNIX, Active, IPv6, , Unknown, 2001:7F8:26::, 32
17, BNIX, Unknown, IPv4, , Unknown, 194.53.172.0/25, 0
17, BNIX, Active, IPv4, Unicast, Unknown, 194.53.172.0/24, 57
19, PTT Belo Horizonte, Active, IPv4, Unicast, Unknown, , 39
19, PTT Belo Horizonte, Active, IPv6, Unicast, Unknown, 2001:12f8:0:3::/64, 0
20, PTT Brasília, Active, IPv4, Unicast, Unknown, , 35
21, PRIX, Active, IPv6, Unicast, Unknown, 2001:12f8:0:4::/64, 37
21, PRIX, Active, IPv4, Unicast, Unknown, 200.219.140.0/24, 71
22, PTT Florianópolis, Active, IPv4, Unicast, Unknown, , 35
29, NAP do Brasil, Active, IPv4, Unicast, None, 200.136.34.0/24, 37
30, PTTMetro São Paulo, Active, IPv4, Unicast, Available, 187.16.216.0/22, 817
30, PTTMetro São Paulo, Active, IPv6, Unicast, Available, 2001:12f8:0:0000::/64, 0
37, OttIX, Active, IPv6, Unicast, Unknown, 2001:478:235::/64, 9
37, OttIX, Active, IPv4, Unicast, Unknown, 198.32.235.0/24, 14
39, TORIX, Active, IPv6, Unicast, Unknown, 2001:0504:001A::34:0/111, 0
39, TORIX, Active, IPv4, Unicast, Unknown, 206.108.34.0/23, 197
41, NAP Chile, Active, IPv4, Unicast, Unknown, 192.168.173.0/24, 13
43, BIX, Active, IPv4, Unicast, Unknown, , 11
49, NAP-Colombia, Active, IPv4, Unicast, Unknown, 206.223.124.0/24, 19
51, CIX, Active, IPv6, Unicast, Unknown, 2001:7f8:28::/48, 0
51, CIX, Deprecated, IPv4, Unicast, Unknown, , 0
51, CIX, Active, IPv4, Unicast, Unknown, 193.192.15.64/26, 29
52, NAP de Cuba, Active, IPv4, Unicast, Unknown, 200.0.16.0/24, 5
53, CyIX, Active, IPv4, Unicast, Unknown, , 3
55, NIX.CZ, Active, IPv6, Unicast, Unknown, 2001:7f8:14::, 97
55, NIX.CZ, Active, IPv4, Unicast, Unknown, 91.210.16.0/22, 141
56, DIX, Active, IPv4, Unicast, Unknown, 192.38.7.0/24, 45
56, DIX, Active, IPv6, Unicast, Unknown, 2001:07F8:001F::/48, 28
57, NAP AEPROVI Guayaquil, Active, IPv6, , Unknown, 2001:13C7:6F40::/48, 0
57, NAP AEPROVI Guayaquil, Active, IPv4, Unicast, Mandatory, , 34
58, NAP AEPROVI Quito, Active, IPv6, , Unknown, 2001:13C7:6F00::/48, 0
58, NAP AEPROVI Quito, Active, IPv4, Unicast, Mandatory, , 28
59, CAIX, Unknown, IPv6, , Available, 2001:4300:96::/48, 0
59, CAIX, Active, IPv4, Unicast, None, 81.21.96.0/24, 7
62, LINX, Active, IPv4, Unicast, Unknown, 195.66.224.0/22, 698
62, LINX, Active, IPv4, Unicast, Unknown, 195.66.236.0/22, 0
62, LINX, Deprecated, IPv4, Unicast, Unknown, 195.66.230.0/24, 0
62, LINX, Active, IPv6, Unicast, Unknown, 2001:7F8:4::/64, 0
64, LoNAP, Active, IPv4, Unicast, Unknown, 5.57.80.0/22, 172
64, LoNAP, Active, IPv6, Unicast, Unknown, 2001:7f8:17::/48, 6
66, XP-London IXP, Active, IPv6, Unicast, Unknown, 2001:07f8:0001:0001::/64, 5
66, XP-London IXP, Active, IPv4, Unicast, Unknown, 217.79.160.0/23, 166
68, TIX, Active, IPv6, , Unknown, 2001:7f8:15::/48, 6
68, TIX, Unknown, IPv6, , Unknown, , 0
68, TIX, Active, IPv4, Unicast, Unknown, 212.47.215.0/24, 13
69, FICIX2, Active, IPv4, Unicast, Unknown, 193.110.224.0/24, 25
69, FICIX2, Deprecated, IPv4, Unicast, Unknown, 193.110.224.0/24, 0
69, FICIX2, Deprecated, IPv4, , Unknown, , 0
69, FICIX2, Active, IPv6, , Unknown, 2001:7f8:7:1::/64, 0
69, FICIX2, Active, IPv6, Unicast, Unknown, 2001:7f8:7:b::/64, 0
70, TREX, Active, IPv4, Unicast, Unknown, 195.140.192.0/24, 15
70, TREX, Active, IPv6, , Unknown, 2001:7f8:1d:4::/64, 0
71, LyonIX, Active, IPv4, Unicast, Unknown, 77.95.71.0/24, 93
71, LyonIX, Active, IPv6, Unicast, Unknown, 2001:7f8:47:47::/64, 56
74, MIXT, Active, IPv4, Unicast, Unknown, , 7
78, SFINX, Active, IPv4, Unicast, Unknown, 194.68.129.0/24, 95
78, SFINX, Active, IPv6, , Unknown, 2001:7f8:4e:2::/64, 57
80, BCIX, Active, IPv6, Unicast, Unknown, 2001:7F8:19:1::/64, 0
80, BCIX, Unknown, IPv4, , Unknown, , 0
80, BCIX, Active, IPv4, Unicast, Unknown, 193.178.185.0/24, 80
81, BLNX/ECIX BER, Active, IPv4, Unicast, Available, 194.9.117.0/24, 155
81, BLNX/ECIX BER, Active, IPv6, Unicast, Available, 2001:7f8:8:5::/64, 0
82, ECIX DUS, Active, IPv6, Unicast, Available, 2001:7F8:8::/64, 0
82, ECIX DUS, Active, IPv4, Unicast, Unknown, 194.146.118.0/24, 97
83, DE-CIX, Defunct, IPv4, , Unknown, 194.31.232.0/24, 0
83, DE-CIX, Active, IPv4, Unicast, Unknown, 80.81.192.0/22, 702
83, DE-CIX, Active, IPv4, Multicast, Unknown, 80.81.200.0/24, 0
83, DE-CIX, Active, IPv6, Unicast, Unknown, 2001:7f8::/64, 0
86, INXS-HH, Active, IPv4, Unicast, Unknown, 62.208.162.0/24, 40
86, INXS-HH, Active, IPv6, Unicast, Unknown, 2001:7f8:2c:2000::/64 , 10
87, XP-Hamburg IXP, Active, IPv4, Unicast, Unknown, , 2
88, DE-CIX Hamburg, Active, IPv4, , Unknown, 213.238.34.0/24, 0
88, DE-CIX Hamburg, Active, IPv4, Unicast, Unknown, 80.81.203.0/24, 38
89, INXS, Active, IPv6, , Unknown, , 10
89, INXS, Deprecated, IPv4, Multicast, Unknown, 194.112.112.0/24, 7
89, INXS, Active, IPv4, Unicast, Unknown, 194.59.190.0/24, 40
92, N-IX, Active, IPv4, Unicast, Unknown, 195.85.217.0/24, 43
92, N-IX, Active, IPv6, , Unknown, 2001:7f8:29:1::, 0
93, GIX, Active, IPv4, Unicast, Unknown, , 17
94, GR-IX, Deprecated, IPv4, Multicast, Unknown, , 0
94, GR-IX, Deprecated, IPv6, Unicast, Unknown, , 0
94, GR-IX, Active, IPv6, Unicast, Unknown, , 0
94, GR-IX, Active, IPv4, Unicast, None, 195.130.89.0/24, 25
96, HKIX, Active, IPv4, Unicast, Available, 202.40.160.0/23, 234
96, HKIX, Active, IPv6, Unicast, Unknown, 2001:7FA:0:1::/64, 0
99, BIX, Active, IPv6, Unicast, None, , 0
99, BIX, Active, IPv4, Unicast, None, 193.188.137.0/24, 52
100, RIX, Active, IPv4, Unicast, Unknown, 193.4.59.0/24, 24
100, RIX, Active, IPv6, Unicast, Unknown, , 0
103, NIXI Mumbai, Unknown, IPv6, Unicast, Unknown, , 0
103, NIXI Mumbai, Active, IPv4, Unicast, Unknown, 180.179.222.68, 50
104, NIXI Delhi, Unknown, IPv6, Unicast, Unknown, , 0
104, NIXI Delhi, Active, IPv4, Unicast, Mandatory, 180.179.222.68, 24
105, NIXI Chennai, Active, IPv4, Unicast, Unknown, 180.179.222.68, 41
105, NIXI Chennai, Deprecated, IPv4, Unicast, Unknown, , 9
106, NIXI Kolkotta, Active, IPv4, Unicast, Unknown, 180.179.222.68, 10
110, IIX, Active, IPv6, Unicast, Unknown, 2001:7FA:2::/64, 0
110, IIX, Active, IPv4, Unicast, Unknown, 103.28.74.0/23, 99
114, IIX, Active, IPv6, Unicast, Unknown, , 0
114, IIX, Active, IPv4, Unicast, Unknown, 218.100.4.0/24, 0
116, INEX, Active, IPv6, , Unknown, 2001:7f8:18:12:/48, 0
116, INEX, Deprecated, IPv4, , Unknown, 193.1.208.192/26, 0
116, INEX, Active, IPv6, Unicast, Unknown, 2001:7f8:18::/48, 51
116, INEX, Active, IPv4, Unicast, Available, 193.242.111.0/25, 106
116, INEX, Active, IPv4, Unicast, Unknown, 194.88.240.0/25, 0
117, IIX, Active, IPv4, Unicast, Mandatory, 192.114.62.0/24, 16
118, MIX, Planned, IPv4, Multicast, Unknown, , 0
118, MIX, Active, IPv4, Unicast, Unknown, 217.29.66.0/24, 109
118, MIX, Active, IPv6, Unicast, Unknown, , 60
120, NaMeX, Active, IPv4, Unicast, Unknown, 193.201.40.0/24, 53
120, NaMeX, Active, IPv6, Unicast, Unknown, 2001:7f8:10::/48, 3
121, TOP-ix, Active, IPv6, , Unknown, 2001:7f8:23:ffff::/64, 0
121, TOP-ix, Active, IPv4, Unicast, Unknown, 194.116.96.0/24, 85
123, JPIX Nagoya, Active, IPv4, Unicast, Unknown, , 0
123, JPIX Nagoya, Active, IPv6, Unicast, Unknown, , 0
123, JPIX Nagoya, Active, IPv4, Unicast, Unknown, , 11
124, JPIX Nihonbashi, Active, IPv4, Unicast, Unknown, , 0
125, JPIX OSAKA, Active, IPv4, Unicast, Unknown, , 11
126, JPNAP Osaka, Active, IPv4, Unicast, Unknown, , 37
126, JPNAP Osaka, Active, IPv6, Unicast, Unknown, , 0
128, NSPIXP-3, Active, IPv4, , Unknown, , 23
128, NSPIXP-3, Active, IPv6, Unicast, Unknown, 2001:200:0:FE10::/64, 0
129, JPIX, Active, IPv4, Unicast, Unknown, 210.171.224.0/24, 135
129, JPIX, Active, IPv6, Unicast, Unknown, 2001:de8:8::/64, 16
130, JPNAP, Active, IPv4, Unicast, Unknown, , 101
130, JPNAP, Active, IPv6, Unicast, Unknown, , 10
134, DIX-IE, Active, IPv4, Unicast, Unknown, 202.249.2.0/24, 85
135, NSPIXP-6, Active, IPv6, , Unknown, 3ffe:501:0:1800:200:f8ff:fe1f:7490, 51
137, BBIX, Active, IPv6, Unicast, Unknown, 2001:0DE8:000C::/64, 0
137, BBIX, Unknown, IPv4, Unicast, Unknown, , 0
137, BBIX, Active, IPv4, Unicast, Unknown, 218.100.6.0/24, 0
138, BBIX, Active, IPv6, Unicast, Unknown, 2001:de8:c:2::/48, 0
138, BBIX, Active, IPv4, Unicast, Unknown, , 0
139, BBIX, Active, IPv4, Unicast, Unknown, , 0
141, BBIX Fukuoka, Active, IPv4, Unicast, Unknown, 218.100.6.0/24, 0
142, Equinix Tokyo, Active, IPv6, Unicast, Unknown, 2001:DE8:5::/64, 0
142, Equinix Tokyo, Active, IPv4, Unicast, Unknown, 203.190.230.0/25, 0
143, KIXP, Active, IPv6, Unicast, Unknown, 2001:43f8:0060::/48, 30
143, KIXP, Active, IPv4, Unicast, Available, 196.223.21.0/24, 30
144, 6NGIX, Active, IPv6, Unicast, Unknown, , 27
145, LGDACOM IX, Active, IPv4, Unicast, Unknown, 198.32.209.0/24, 52
147, KINX, Active, IPv4, Unicast, Unknown, 192.145.251.0/24, 46
147, KINX, Active, IPv6, Unicast, Unknown, 2001:7FA:8::/64, 0
155, MIX, Active, IPv4, Unicast, Unknown, , 12
156, MIXP, Active, IPv4, Unicast, Available, 196.223.0.0/24, 10
156, MIXP, Unknown, IPv6, Unicast, Available, 2001:43f8:270:d0d0::/64, 0
157, MIX, Active, IPv4, , Unknown, , 6
158, MOZIX, Active, IPv4, Unicast, Unknown, 192.168.10.0/24, 17
159, NPIX, Active, IPv4, Unicast, Available, 198.32.231.0/24, 31
159, NPIX, Active, IPv6, Unicast, Unknown, 2404:2C00:FFFF:E::/64, 0
160, AMS-IX, Active, IPv4, Both, Available, 80.249.208.0/21, 783
160, AMS-IX, Unknown, IPv4, , Unknown, 195.69.144.0/24, 0
160, AMS-IX, Unknown, IPv4, , Unknown, 195.69.145.0/24, 0
160, AMS-IX, Deprecated, IPv4, Unicast, Available, 195.69.144.0/22, 0
160, AMS-IX, Active, IPv6, Unicast, Available, 2001:7f8:1::/64, 0
160, AMS-IX, Deprecated, IPv4, , Unknown, 193.148.15.0/24, 170
162, NDIX, Active, IPv4, Unicast, Unknown, 193.108.98.0/24, 21
163, GN-IX, Active, IPv6, , None, 2001:7f8:31:0, 0
163, GN-IX, Active, IPv4, , Unknown, 193.111.172.0/24, 51
164, APE, Active, IPv6, Unicast, Available, 2001:07FA:0004::/48, 8
